Date,High,Low,Open,Close,Volume,Adj Close
2021-01-04,14937.1298828125,14720.25,14720.25,14902.0302734375,6487600.0,14902.0302734375
2021-01-05,15000.0302734375,14861.990234375,14913.6396484375,15000.0302734375,6302200.0,15000.0302734375
2021-01-06,15197.6796875,14837.0,15145.849609375,14983.1298828125,7787000.0,14983.1298828125
2021-01-07,15270.400390625,15049.8603515625,15059.51953125,15214.0,5878900.0,15214.0
2021-01-08,15463.9501953125,15275.3798828125,15365.1298828125,15463.9501953125,6192800.0,15463.9501953125
2021-01-11,15557.2998046875,15395.73046875,15425.580078125,15557.2998046875,5319100.0,15557.2998046875
2021-01-12,15642.0302734375,15421.23046875,15549.5302734375,15500.7001953125,6399400.0,15500.7001953125
2021-01-13,15778.51953125,15550.16015625,15550.16015625,15769.98046875,5900400.0,15769.98046875
2021-01-14,15760.150390625,15620.9599609375,15651.2001953125,15707.1904296875,5571500.0,15707.1904296875
2021-01-15,16041.58984375,15615.1103515625,15987.16015625,15616.3896484375,6418300.0,15616.3896484375
2021-01-18,15676.4501953125,15320.9697265625,15676.4501953125,15612.0,5431000.0,15612.0
2021-01-19,15928.1396484375,15716.6396484375,15716.6396484375,15877.3701171875,5516500.0,15877.3701171875
2021-01-20,16004.3203125,15745.48046875,15934.849609375,15806.1796875,7303000.0,15806.1796875
2021-01-21,16238.4599609375,15775.73046875,15775.73046875,16153.76953125,5268500.0,16153.76953125
2021-01-22,16138.0400390625,15973.01953125,15984.8896484375,16019.0302734375,5023800.0,16019.0302734375
2021-01-25,16014.9599609375,15772.6298828125,16006.2099609375,15946.5400390625,4667900.0,15946.5400390625
2021-01-26,16023.8701171875,15589.2099609375,15955.16015625,15658.849609375,4526600.0,15658.849609375
2021-01-27,15837.4697265625,15642.1201171875,15711.759765625,15701.4501953125,4293000.0,15701.4501953125
2021-01-28,15557.01953125,15367.4501953125,15519.849609375,15415.8798828125,5142300.0,15415.8798828125
2021-01-29,15603.41015625,15138.3095703125,15544.3603515625,15138.3095703125,5546700.0,15138.3095703125
2021-02-01,15429.98046875,15089.9599609375,15176.5595703125,15410.08984375,4413200.0,15410.08984375
