,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,bs_ratio,buy_volume,sell_volume
2012-05-02,269.0,249.0,255.5,267.0,20470000.0,188.6831512451172,2814.0,51.0,2456.0,46753.0,46446.0,4390.0,740.0,842.0,2621.0,2520.0,240140.0,284272.0,1.1837712010860286,0.6693569363732921,5525000.0,8254190.0
2012-05-03,267.0,262.0,265.0,265.5,9581000.0,187.62315368652344,900.0,38.0,1519.0,46095.0,46752.0,1511.0,314.0,539.0,2841.0,2621.0,240798.0,284052.0,1.179622838965278,1.9588992519014188,4933000.0,2518250.0
2012-05-04,271.5,263.5,264.5,271.0,10502000.0,191.50990295410156,1227.0,20.0,1886.0,45416.0,46095.0,1951.0,571.0,402.0,2670.0,2841.0,241477.0,284223.0,1.1770140551106105,1.5464773567172487,4237000.0,2739774.0
2012-05-07,273.5,266.0,267.0,273.5,8885000.0,193.27658081054688,774.0,29.0,1246.0,44915.0,45416.0,1392.0,295.0,395.0,2770.0,2670.0,241978.0,284123.0,1.1741638737245794,1.5815966730567108,4555000.0,2880000.0
2012-05-08,276.0,265.0,276.0,265.0,8703000.0,187.26979064941406,1606.0,25.0,1176.0,45320.0,44915.0,1268.0,354.0,332.0,2645.0,2770.0,241573.0,284248.0,1.1766498050286869,0.6910072636112361,2451000.0,3546995.0
2012-05-09,269.0,260.5,262.0,265.0,5789000.0,187.26979064941406,834.0,23.0,679.0,45452.0,45320.0,1104.0,563.0,364.0,2445.0,2645.0,241441.0,284448.0,1.1781214535996223,0.7930317538742435,1581000.0,1993614.0
2012-05-10,268.0,262.0,265.0,264.0,4252000.0,186.56314086914062,625.0,13.0,570.0,45494.0,45452.0,718.0,178.0,459.0,2726.0,2445.0,241399.0,284167.0,1.177162386081193,1.0884651093347868,1501813.0,1379752.0
2012-05-11,267.0,263.0,265.5,263.0,5169000.0,185.8564453125,780.0,34.0,829.0,45411.0,45494.0,1247.0,359.0,463.0,2829.0,2726.0,241482.0,284064.0,1.1763312531316905,1.0231110480334649,1398513.0,1366921.0
2012-05-14,265.0,261.5,263.5,264.0,3544000.0,186.56314086914062,283.0,24.0,655.0,45015.0,45411.0,552.0,268.0,547.0,3108.0,2829.0,241880.0,283787.0,1.1732504826753651,2.4652373459393773,1844000.0,748000.0
2012-05-15,269.0,260.5,260.5,269.0,6998000.0,190.09652709960938,1038.0,27.0,696.0,45330.0,45015.0,1366.0,617.0,432.0,2922.0,3108.0,241565.0,283973.0,1.1755503671874352,0.7414376026804866,2150000.0,2899771.0
2012-05-16,269.0,262.0,269.0,262.0,5931000.0,185.14979553222656,716.0,21.0,932.0,45093.0,45330.0,859.0,302.0,239.0,2814.0,2922.0,241802.0,284081.0,1.1748448116855457,1.0362313169352588,2343548.0,2261606.0
2012-05-17,276.0,264.5,267.0,272.5,9865000.0,192.5699005126953,1700.0,16.0,1874.0,44903.0,45093.0,1677.0,726.0,407.0,2494.0,2814.0,241992.0,284401.0,1.175244738484171,3.4438117994636364,3828000.0,1111558.0
2012-05-18,269.0,261.0,268.0,262.0,7114000.0,185.14979553222656,1372.0,24.0,1984.0,44266.0,44902.0,945.0,505.0,388.0,2377.0,2494.0,242629.0,284518.0,1.172641470551869,0.8439751005135477,1520000.0,1801000.0
2012-05-21,268.0,262.0,264.0,262.0,3851000.0,185.14979553222656,817.0,57.0,754.0,44272.0,44266.0,601.0,162.0,183.0,2390.0,2377.0,242623.0,284505.0,1.1726168886837247,0.9769025502800888,1125000.0,1151598.0
2012-05-22,266.5,262.0,266.0,262.5,5561000.0,185.5030975341797,1233.0,22.0,548.0,44935.0,44272.0,926.0,265.0,119.0,2243.0,2390.0,241960.0,284652.0,1.1764375250556909,0.3782186387489289,1013000.0,2678344.0
