,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio
2003-01-03,11.991450309753418,11.577951431274414,11.76173210144043,11.715784072875977,169513814.0,5.623910427093506,18725.0,44.0,22546.0,83164.0,87029.0,11345.0,32.0,2172.0,4136.0,1996.0,872236.0,951264.0,1.0906026687700705,,,
2003-01-06,12.129281997680664,11.623899459838867,11.807674407958984,11.991450309753418,112201266.0,5.756240367889404,11859.0,12.0,14772.0,80239.0,83164.0,8826.0,133.0,1566.0,5549.0,4136.0,875161.0,949851.0,1.0853430564855422,,,
2003-01-07,12.542780876159668,11.991450309753418,12.129281997680664,12.08333969116211,125155006.0,5.800347805023193,13448.0,14.0,14106.0,79711.0,80383.0,8591.0,300.0,968.0,6197.0,5551.0,875689.0,949203.0,1.0839486576299833,,,
2003-01-08,12.542780876159668,11.991450309753418,12.08333969116211,12.359004974365234,109413774.0,5.932675838470459,11128.0,20.0,12250.0,78574.0,79716.0,9427.0,469.0,944.0,6662.0,6197.0,876826.0,948738.0,1.0820127573626268,,,
2003-01-09,12.726560592651367,11.899564743041992,12.404948234558105,12.267114639282227,93858526.0,5.888565540313721,14122.0,112.0,9873.0,82645.0,78508.0,1816.0,1985.0,120.0,4746.0,6614.0,872755.0,950654.0,1.0892551870167606,,,
2003-01-10,12.221173286437988,11.853616714477539,11.991450309753418,12.037397384643555,54725029.0,5.778295040130615,9164.0,147.0,6596.0,85066.0,82645.0,0.0,433.0,0.0,4308.0,4746.0,870334.0,951092.0,1.0927884090608788,,,
2003-01-13,12.129281997680664,11.807674407958984,12.037397384643555,11.991450309753418,63933179.0,5.756240367889404,9042.0,64.0,5814.0,88230.0,85066.0,1705.0,1067.0,76.0,3260.0,4308.0,867170.0,952140.0,1.0979841346170478,,,
2003-01-14,12.221173286437988,11.853616714477539,12.037397384643555,11.991450309753418,73020251.0,5.756240367889404,11983.0,1.0,8212.0,92038.0,88268.0,2958.0,674.0,67.0,2588.0,3240.0,863362.0,952812.0,1.1036053201260652,,,
2003-01-15,12.08333969116211,11.715784072875977,11.991450309753418,11.76173210144043,50890073.0,5.64596700668335,9003.0,12.0,6495.0,94529.0,92033.0,28.0,217.0,0.0,2366.0,2583.0,860871.0,953034.0,1.1070565659006217,,,
2003-01-16,12.542780876159668,11.899564743041992,11.899564743041992,12.359004974365234,189983826.0,5.932675838470459,29316.0,20.0,27040.0,96785.0,94529.0,14928.0,152.0,2292.0,4506.0,2366.0,858615.0,950894.0,1.1074729564787984,,,
2003-01-17,12.588727951049805,12.08333969116211,12.588727951049805,12.175230026245117,62014134.0,5.844457626342773,9873.0,76.0,10663.0,95908.0,96774.0,1621.0,767.0,245.0,3923.0,4495.0,859492.0,951477.0,1.1070212322846142,,,
2003-01-20,12.450896263122559,12.175230026245117,12.31306266784668,12.450896263122559,40170597.0,5.976786136627197,6903.0,237.0,5370.0,97204.0,95908.0,2016.0,114.0,289.0,4087.0,3923.0,858196.0,951313.0,1.108501894087255,,,
2003-01-21,12.680614471435547,12.175230026245117,12.450896263122559,12.221173286437988,129118989.0,5.866511821746826,20269.0,582.0,23334.0,93557.0,97204.0,9859.0,152.0,217.0,4145.0,4087.0,861843.0,951255.0,1.1037438329906573,,,
2003-01-22,12.496837615966797,11.991450309753418,12.175230026245117,12.496837615966797,51618575.0,5.998838424682617,7581.0,0.0,6567.0,94597.0,93583.0,2107.0,598.0,96.0,3642.0,4144.0,860803.0,951758.0,1.1056616837282354,,,
2003-01-23,13.323835372924805,12.450896263122559,12.496837615966797,13.323835372924805,193722116.0,6.3958210945129395,30020.0,30.0,23464.0,101063.0,94537.0,19735.0,177.0,1838.0,5303.0,3642.0,854337.0,950097.0,1.1120856148269187,,,
2003-01-24,13.323835372924805,12.956283569335938,13.323835372924805,12.956283569335938,109686656.0,6.219385623931885,18917.0,27.0,21332.0,98236.0,100678.0,954.0,371.0,310.0,4846.0,5278.0,857164.0,950554.0,1.1089510187653486,,,
2003-01-27,13.048169136047363,12.267114639282227,12.910335540771484,12.450896263122559,62660113.0,5.976786136627197,9287.0,19.0,8487.0,99017.0,98236.0,160.0,492.0,59.0,4391.0,4846.0,856383.0,951009.0,1.1104936570510424,,,
2003-01-28,13.140059471130371,12.404948234558105,12.450896263122559,12.864394187927246,69035918.0,6.175276756286621,6036.0,263.0,9568.0,95707.0,99502.0,3174.0,203.0,705.0,4873.0,4374.0,859693.0,950527.0,1.1056573618054797,,,
2003-01-29,12.864394187927246,12.864394187927246,12.864394187927246,12.864394187927246,0.0,6.175276756286621,6036.0,263.0,9568.0,95707.0,99502.0,3174.0,203.0,705.0,4873.0,4374.0,859693.0,950527.0,1.1056573618054797,,,
2003-01-30,12.864394187927246,12.864394187927246,12.864394187927246,12.864394187927246,0.0,6.175276756286621,6036.0,263.0,9568.0,95707.0,99502.0,3174.0,203.0,705.0,4873.0,4374.0,859693.0,950527.0,1.1056573618054797,,,
2003-01-31,12.864394187927246,12.864394187927246,12.864394187927246,12.864394187927246,0.0,6.175276756286621,6036.0,263.0,9568.0,95707.0,99502.0,3174.0,203.0,705.0,4873.0,4374.0,859693.0,950527.0,1.1056573618054797,,,
2003-02-03,12.864394187927246,12.864394187927246,12.864394187927246,12.864394187927246,0.0,6.175276756286621,6036.0,263.0,9568.0,95707.0,99502.0,3174.0,203.0,705.0,4873.0,4374.0,859693.0,950527.0,1.1056573618054797,,,
2003-02-04,12.864394187927246,12.864394187927246,12.864394187927246,12.864394187927246,0.0,6.175276756286621,6036.0,263.0,9568.0,95707.0,99502.0,3174.0,203.0,705.0,4873.0,4374.0,859693.0,950527.0,1.1056573618054797,,,
2003-02-05,12.864394187927246,12.864394187927246,12.864394187927246,12.864394187927246,0.0,6.175276756286621,6036.0,263.0,9568.0,95707.0,99502.0,3174.0,203.0,705.0,4873.0,4374.0,859693.0,950527.0,1.1056573618054797,,,
2003-02-06,12.864394187927246,11.991450309753418,12.864394187927246,11.991450309753418,74914689.0,5.756240367889404,10012.0,12.0,6774.0,98416.0,95190.0,50.0,1305.0,0.0,3552.0,4865.0,856984.0,951848.0,1.1106938861240279,,,
2003-02-07,12.129281997680664,11.16445255279541,11.991450309753418,11.39417552947998,101260056.0,5.469529151916504,13342.0,86.0,7347.0,104319.0,98410.0,854.0,1094.0,88.0,2546.0,3552.0,851081.0,952854.0,1.119579546976672,,,
