,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio
2002-02-19,5.514464855194092,5.3306498527526855,5.3306498527526855,5.514464855194092,74848656.0,3.2602126598358154,2806.0,143.0,5681.0,30826.0,33844.0,441.0,10.0,240.0,263.0,33.0,544174.0,574737.0,1.0561620802131668,,,
2002-02-20,5.6615190505981445,5.477703094482422,5.514464855194092,5.551231861114502,59133520.0,3.2819502353668213,1914.0,62.0,4657.0,27995.0,30800.0,372.0,19.0,280.0,486.0,263.0,547005.0,574514.0,1.0502882966548812,,,
2002-02-21,5.624755859375,5.3857951164245605,5.58799409866333,5.514464855194092,48490955.0,3.2602126598358154,772.0,86.0,3194.0,25488.0,27996.0,189.0,190.0,15.0,302.0,486.0,549512.0,574698.0,1.0458314907927564,,,
2002-02-22,5.551231861114502,5.496086120605469,5.514464855194092,5.514464855194092,14532236.0,3.2602126598358154,313.0,83.0,1353.0,24365.0,25488.0,151.0,15.0,103.0,376.0,302.0,550635.0,574624.0,1.0435641694331645,,,
2002-02-25,5.58799409866333,5.514464855194092,5.551231861114502,5.514464855194092,16359502.0,3.2602126598358154,362.0,8.0,1645.0,23074.0,24365.0,50.0,8.0,149.0,507.0,376.0,551926.0,574493.0,1.040885841787048,,,
2002-02-26,5.551231861114502,5.514464855194092,5.514464855194092,5.514464855194092,14497445.0,3.2602126598358154,261.0,5.0,1241.0,22089.0,23074.0,42.0,87.0,27.0,447.0,507.0,552911.0,574553.0,1.0391400439852996,,,
2002-02-27,5.551231861114502,5.404179096221924,5.514464855194092,5.422557830810547,21124199.0,3.205875873565674,573.0,21.0,850.0,21791.0,22089.0,28.0,177.0,22.0,277.0,447.0,553209.0,574723.0,1.0388875833770177,,,
2002-02-28,5.422557830810547,5.422557830810547,5.422557830810547,5.422557830810547,0.0,3.205875873565674,573.0,21.0,850.0,21791.0,22089.0,28.0,177.0,22.0,277.0,447.0,553209.0,574723.0,1.0388875833770177,,,
2002-03-01,5.440940856933594,5.349032878875732,5.404179096221924,5.3857951164245605,23711742.0,3.1841418743133545,641.0,0.0,1146.0,21286.0,21791.0,39.0,77.0,31.0,231.0,277.0,553714.0,574769.0,1.0380231707647436,,,
2002-03-04,5.551231861114502,5.422557830810547,5.514464855194092,5.551231861114502,18760165.0,3.2819502353668213,1528.0,19.0,847.0,21948.0,21286.0,204.0,21.0,13.0,223.0,231.0,553052.0,574777.0,1.0392801413246109,,,
2002-03-05,5.551231861114502,5.422557830810547,5.551231861114502,5.440940856933594,18457435.0,3.2167446613311768,593.0,26.0,1298.0,21217.0,21948.0,0.0,26.0,0.0,197.0,223.0,553783.0,574803.0,1.0379552316426621,,,
2002-03-06,5.514464855194092,5.440940856933594,5.440940856933594,5.514464855194092,15568855.0,3.2602126598358154,822.0,7.0,1063.0,20969.0,21217.0,54.0,2.0,0.0,195.0,197.0,554031.0,574805.0,1.0374942241603373,,,
2002-03-07,5.58799409866333,5.514464855194092,5.514464855194092,5.551231861114502,13224223.0,3.2819502353668213,1182.0,1.0,736.0,21408.0,20963.0,191.0,6.0,14.0,203.0,195.0,553592.0,574797.0,1.0383025074377747,,,
2002-03-08,5.551231861114502,5.3306498527526855,5.551231861114502,5.367412090301514,12209595.0,3.1732735633850098,768.0,43.0,623.0,21510.0,21408.0,0.0,92.0,0.0,111.0,203.0,553490.0,574889.0,1.0386600685467333,,,
2002-03-11,5.404179096221924,5.3306498527526855,5.404179096221924,5.3857951164245605,9084000.0,3.1841418743133545,783.0,2.0,772.0,21534.0,21525.0,82.0,26.0,10.0,95.0,111.0,553466.0,574905.0,1.03873401666224,,,
2002-03-12,5.514464855194092,5.293888092041016,5.404179096221924,5.3306498527526855,11400059.0,3.1515395641326904,1754.0,40.0,767.0,22481.0,21534.0,173.0,15.0,0.0,80.0,95.0,552519.0,574920.0,1.0405415188590459,,,
2002-03-13,5.3306498527526855,5.257124900817871,5.293888092041016,5.257124900817871,9058226.0,3.1080706119537354,670.0,3.0,721.0,22427.0,22481.0,0.0,70.0,0.0,10.0,80.0,552573.0,574990.0,1.0405665123585257,,,
2002-03-14,5.293888092041016,5.183600902557373,5.220363140106201,5.220363140106201,8156105.0,3.086336612701416,785.0,6.0,212.0,22994.0,22427.0,2.0,0.0,5.0,15.0,10.0,552006.0,574985.0,1.0416262837246628,,,
2002-03-15,5.275505065917969,5.220363140106201,5.220363140106201,5.238741874694824,9250576.0,3.0972018241882324,467.0,15.0,336.0,23110.0,22994.0,32.0,0.0,36.0,51.0,15.0,551890.0,574949.0,1.041779989164527,,,
2002-03-18,5.3306498527526855,5.165217876434326,5.3306498527526855,5.201980113983154,13442736.0,3.0754687786102295,725.0,10.0,1314.0,22507.0,23106.0,4.0,20.0,0.0,31.0,51.0,552493.0,574969.0,1.0406791747964683,,,
2002-03-19,5.238741874694824,5.146834850311279,5.201980113983154,5.183600902557373,12360033.0,3.0646026134490967,359.0,134.0,455.0,22278.0,22508.0,0.0,0.0,1.0,22.0,31.0,552722.0,574978.0,1.0402642915167273,,,
2002-03-20,5.220363140106201,5.146834850311279,5.183600902557373,5.220363140106201,6381101.0,3.086336612701416,367.0,14.0,639.0,21992.0,22278.0,8.0,0.0,15.0,37.0,22.0,553008.0,574963.0,1.039699173069516,,,
2002-03-21,5.183600902557373,5.110072135925293,5.165217876434326,5.110072135925293,11845469.0,3.0211310386657715,616.0,452.0,302.0,21854.0,21992.0,0.0,25.0,0.0,12.0,37.0,553146.0,574988.0,1.0394849831961486,,,
2002-03-22,5.440940856933594,5.128456115722656,5.146834850311279,5.349032878875732,30721858.0,3.162407398223877,1084.0,79.0,1736.0,21123.0,21854.0,246.0,0.0,30.0,42.0,12.0,553877.0,574958.0,1.0380589227230546,,,
2002-03-25,5.514464855194092,5.422557830810547,5.422557830810547,5.459320068359375,26957304.0,3.2276101112365723,2372.0,78.0,2282.0,21135.0,21123.0,374.0,4.0,8.0,46.0,42.0,553865.0,574954.0,1.0380741912303697,,,
2002-03-26,5.440940856933594,5.3857951164245605,5.440940856933594,5.3857951164245605,11528926.0,3.1841418743133545,293.0,15.0,1342.0,20127.0,21191.0,0.0,4.0,0.0,35.0,46.0,554873.0,574965.0,1.0362082202445961,,,
2002-03-27,5.58799409866333,5.3857951164245605,5.404179096221924,5.514464855194092,48608708.0,3.2602126598358154,4278.0,25.0,2693.0,21635.0,20075.0,2248.0,2.0,18.0,51.0,35.0,553365.0,574949.0,1.0390031190929692,,,
2002-03-28,5.624755859375,5.514464855194092,5.58799409866333,5.58799409866333,32016899.0,3.3036844730377197,1177.0,0.0,3095.0,19717.0,21635.0,137.0,0.0,75.0,126.0,51.0,555283.0,574874.0,1.035279244494709,,,
2002-03-29,5.6615190505981445,5.58799409866333,5.6615190505981445,5.58799409866333,20243972.0,3.3036844730377197,1112.0,23.0,2364.0,18440.0,19715.0,294.0,11.0,28.0,139.0,124.0,556560.0,574861.0,1.0328804928839785,,,
2002-04-01,5.6615190505981445,5.514464855194092,5.514464855194092,5.624755859375,12278573.0,3.325418472290039,196.0,8.0,1121.0,17523.0,18456.0,29.0,1.0,9.0,137.0,139.0,557477.0,574863.0,1.0311850871245143,,,
2002-04-02,5.882095813751221,5.58799409866333,5.624755859375,5.808571815490723,32675365.0,3.434091806411743,1319.0,123.0,2185.0,16534.0,17523.0,873.0,10.0,51.0,181.0,141.0,558466.0,574819.0,1.0292801544227321,,,
2002-04-03,6.21296501159668,5.735046863555908,5.808571815490723,6.21296501159668,32144128.0,3.673173427581787,1434.0,52.0,2375.0,15540.0,16533.0,687.0,9.0,40.0,212.0,181.0,559460.0,574788.0,1.0273960115182292,,,
2002-04-04,6.617362022399902,6.286492824554443,6.286492824554443,6.543832778930664,104307872.0,3.868786334991455,8597.0,23.0,3624.0,20490.0,15540.0,3477.0,1.0,459.0,672.0,214.0,554510.0,574328.0,1.035737794200656,,,
2002-04-05,6.543832778930664,6.543832778930664,6.543832778930664,6.543832778930664,0.0,3.868786334991455,8597.0,23.0,3624.0,20490.0,15540.0,3477.0,1.0,459.0,672.0,214.0,554510.0,574328.0,1.035737794200656,,,
2002-04-08,6.837940216064453,6.470308780670166,6.543832778930664,6.580595970153809,88979511.0,3.8905224800109863,5200.0,0.0,6676.0,19017.0,20493.0,3248.0,70.0,492.0,1078.0,675.0,555983.0,573922.0,1.0322635183746296,,,
2002-04-09,6.6908860206604,6.176201820373535,6.617362022399902,6.176201820373535,38618113.0,3.651440143585205,1937.0,0.0,4548.0,16356.0,18967.0,785.0,541.0,74.0,546.0,1030.0,558644.0,574454.0,1.0282988302052287,,,
2002-04-10,6.396780014038086,6.176201820373535,6.286492824554443,6.323256015777588,29342481.0,3.7383787631988525,4279.0,100.0,863.0,19621.0,16305.0,1198.0,160.0,125.0,458.0,493.0,555379.0,574542.0,1.0345025027908819,,,
2002-04-11,6.360017776489258,6.176201820373535,6.323256015777588,6.249731063842773,21640596.0,3.6949105262756348,1735.0,0.0,2106.0,19248.0,19619.0,698.0,90.0,35.0,399.0,456.0,555752.0,574601.0,1.0339143468411327,,,
2002-04-12,6.249731063842773,6.065911769866943,6.176201820373535,6.176201820373535,15238716.0,3.651440143585205,1036.0,48.0,2187.0,18057.0,19256.0,0.0,107.0,1.0,288.0,399.0,556943.0,574712.0,1.0319026688500101,,,
2002-04-15,6.249731063842773,6.176201820373535,6.176201820373535,6.176201820373535,13727005.0,3.651440143585205,896.0,0.0,2061.0,16855.0,18020.0,162.0,8.0,186.0,460.0,288.0,558145.0,574540.0,1.0293722431048506,,,
2002-04-16,6.470308780670166,6.249731063842773,6.249731063842773,6.323256015777588,30928714.0,3.7383787631988525,2095.0,14.0,1471.0,17502.0,16892.0,912.0,52.0,171.0,579.0,460.0,557498.0,574421.0,1.030353417674292,,,
2002-04-17,6.727649211883545,6.43354606628418,6.43354606628418,6.6908860206604,49207929.0,3.955725908279419,3984.0,185.0,3997.0,17304.0,17502.0,1238.0,8.0,417.0,988.0,579.0,557696.0,574012.0,1.0292542366195263,,,
2002-04-18,7.132046222686768,6.764410972595215,6.764410972595215,7.058516979217529,95141685.0,4.173073768615723,5416.0,2.0,5625.0,17088.0,17299.0,2969.0,125.0,795.0,1653.0,983.0,557912.0,573347.0,1.0276638113827783,,,
2002-04-19,7.426147937774658,7.1688079833984375,7.1688079833984375,7.205570220947266,103369505.0,4.260012626647949,15539.0,0.0,3869.0,28713.0,17043.0,3827.0,194.0,605.0,2014.0,1618.0,546287.0,572986.0,1.048871657440764,,,
