,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,bs_ratio,buy_volume,sell_volume
2012-05-02,7.46999979019165,7.230000019073486,7.320000171661377,7.420000076293945,9481000.0,5.217714309692383,1634.0,19.0,2063.0,85799.0,86247.0,678.0,49.0,124.0,697.0,622.0,405896.0,490998.0,1.2096615643870243,3.5454670605572995,1571000.0,443100.0
2012-05-03,7.539999961853027,7.360000133514404,7.449999809265137,7.400000095367432,6987000.0,5.203649997711182,1552.0,53.0,1419.0,85879.0,85799.0,712.0,114.0,38.0,620.0,697.0,405816.0,491075.0,1.2100897695266586,1.1190057426753044,432000.0,386056.0
2012-05-04,7.579999923706055,7.349999904632568,7.400000095367432,7.46999979019165,6982000.0,5.252872943878174,2377.0,20.0,1356.0,86880.0,85879.0,444.0,78.0,83.0,623.0,620.0,404815.0,491072.0,1.2130745820323308,1.402560506255112,547000.0,390000.0
2012-05-07,7.400000095367432,7.199999809265137,7.349999904632568,7.210000038146973,6013000.0,5.070043087005615,1695.0,24.0,2533.0,86018.0,86880.0,0.0,159.0,0.0,444.0,623.0,405677.0,491251.0,1.2109382317996047,0.3521116841924389,125000.0,355000.0
2012-05-08,7.300000190734863,7.21999979019165,7.21999979019165,7.230000019073486,3627000.0,5.084106922149658,837.0,37.0,1097.0,85721.0,86018.0,69.0,0.0,55.0,485.0,444.0,405974.0,491210.0,1.209951351684217,1.3217497034883878,487000.0,368450.0
2012-05-09,7.199999809265137,7.070000171661377,7.110000133514404,7.119999885559082,3435000.0,5.0067548751831055,756.0,20.0,789.0,85668.0,85721.0,0.0,30.0,0.0,455.0,485.0,406027.0,491240.0,1.2098672997921325,0.08097149600911739,40000.0,494000.0
2012-05-10,7.190000057220459,7.059999942779541,7.119999885559082,7.079999923706055,3132000.0,4.9786272048950195,778.0,12.0,505.0,85929.0,85668.0,28.0,53.0,2.0,404.0,455.0,405766.0,491291.0,1.210771206135541,2.8182116116671287,335370.0,119000.0
2012-05-11,7.179999828338623,7.039999961853027,7.179999828338623,7.119999885559082,4391000.0,5.0067548751831055,1385.0,16.0,901.0,86397.0,85929.0,120.0,30.0,42.0,416.0,404.0,405298.0,491279.0,1.212139679594571,0.1397035085680342,86548.0,619511.0
2012-05-14,7.150000095367432,7.059999942779541,7.150000095367432,7.059999942779541,2306000.0,4.964563846588135,479.0,22.0,797.0,86057.0,86397.0,33.0,31.0,5.0,390.0,416.0,405638.0,491305.0,1.2111877802676765,0.7810161969620659,107000.0,137000.0
2012-05-15,7.039999961853027,6.960000038146973,6.980000019073486,7.019999980926514,4117000.0,4.936435699462891,817.0,31.0,774.0,86069.0,86057.0,0.0,140.0,0.0,250.0,390.0,405626.0,491445.0,1.2115687565176874,1.1682000732717206,507000.0,434000.0
2012-05-16,7.119999885559082,6.96999979019165,7.019999980926514,6.980000019073486,3759000.0,4.9083075523376465,736.0,3.0,733.0,86069.0,86069.0,369.0,28.0,2.0,224.0,250.0,405626.0,491471.0,1.2116328548148916,1.4014817788781455,377000.0,269000.0
2012-05-17,7.260000228881836,6.980000019073486,6.980000019073486,7.179999828338623,6160000.0,5.048947334289551,1496.0,45.0,1287.0,86233.0,86069.0,758.0,23.0,85.0,286.0,224.0,405462.0,491409.0,1.2119700194592355,1.4895471892013603,774000.0,519620.0
2012-05-18,7.139999866485596,6.78000020980835,7.139999866485596,6.820000171661377,6504000.0,4.795796871185303,1389.0,40.0,1535.0,86047.0,86233.0,0.0,172.0,0.0,114.0,286.0,405648.0,491581.0,1.2118383134187438,0.479531696362869,492000.0,1026000.0
2012-05-21,6.940000057220459,6.820000171661377,6.820000171661377,6.820000171661377,3112000.0,4.795796871185303,814.0,69.0,653.0,86139.0,86047.0,64.0,1.0,34.0,147.0,114.0,405556.0,491548.0,1.2120318475578031,1.1896109595052315,347000.0,291691.0
2012-05-22,7.099999904632568,6.949999809265137,7.099999904632568,6.989999771118164,2843000.0,4.915339946746826,544.0,3.0,472.0,86208.0,86139.0,184.0,10.0,49.0,186.0,147.0,405487.0,491509.0,1.2121419129542674,0.5694104249166473,242000.0,425000.0
2012-05-23,6.989999771118164,6.820000171661377,6.989999771118164,6.849999904632568,2333000.0,4.816892623901367,456.0,20.0,577.0,86067.0,86208.0,0.0,26.0,0.0,160.0,186.0,405628.0,491535.0,1.2117846603669855,1.4930503713528773,430000.0,288000.0
2012-05-24,6.909999847412109,6.699999809265137,6.860000133514404,6.739999771118164,3459000.0,4.739541053771973,690.0,16.0,892.0,85849.0,86067.0,55.0,55.0,1.0,106.0,160.0,405846.0,491589.0,1.2112668074422135,1.5798769826124774,534000.0,338000.0
2012-05-25,6.800000190734863,6.679999828338623,6.75,6.679999828338623,2166000.0,4.6973490715026855,478.0,11.0,481.0,85835.0,85849.0,32.0,30.0,1.0,77.0,106.0,405860.0,491618.0,1.2112964783509625,1.4149563608410827,208000.0,147000.0
2012-05-28,6.800000190734863,6.659999847412109,6.690000057220459,6.71999979019165,1623000.0,4.7254767417907715,759.0,19.0,304.0,86271.0,85835.0,57.0,34.0,23.0,66.0,77.0,405424.0,491629.0,1.2126262563976073,1.5253978746122947,90000.0,59000.0
2012-05-29,7.090000152587891,6.800000190734863,6.829999923706055,7.010000228881836,5994000.0,4.929403781890869,2001.0,70.0,1772.0,86430.0,86271.0,482.0,16.0,74.0,124.0,66.0,405265.0,491571.0,1.2129588961324167,2.568454072804677,619000.0,241000.0
2012-05-30,7.019999980926514,6.889999866485596,7.010000228881836,6.949999809265137,3268000.0,4.887211799621582,860.0,57.0,860.0,86373.0,86430.0,31.0,1.0,10.0,133.0,124.0,405322.0,491562.0,1.2127661149256272,0.5398202233419963,193796.0,359000.0
2012-05-31,7.150000095367432,6.820000171661377,6.849999904632568,7.150000095367432,4304000.0,5.02785062789917,511.0,10.0,1029.0,85845.0,86373.0,120.0,25.0,16.0,124.0,133.0,405850.0,491571.0,1.211210518145822,3.702998620220259,2198000.0,593572.0
2012-06-01,7.139999866485596,6.929999828338623,7.139999866485596,6.929999828338623,3837000.0,4.873147964477539,1051.0,63.0,1064.0,85769.0,85845.0,0.0,8.0,0.0,116.0,124.0,405926.0,491579.0,1.211003456286475,0.5941631149317345,329000.0,553719.0
2012-06-04,6.789999961853027,6.449999809265137,6.659999847412109,6.449999809265137,8421000.0,4.535613059997559,2029.0,102.0,2622.0,85074.0,85769.0,0.0,84.0,0.0,32.0,116.0,406621.0,491663.0,1.2091401842497456,0.262407152078065,460000.0,1753000.0
2012-06-05,6.739999771118164,6.599999904632568,6.599999904632568,6.630000114440918,4232000.0,4.66218900680542,854.0,39.0,999.0,84890.0,85074.0,223.0,0.0,61.0,93.0,32.0,406805.0,491602.0,1.2084433366272866,4.918296004799987,1746000.0,355000.0
2012-06-06,6.849999904632568,6.659999847412109,6.730000019073486,6.849999904632568,4639000.0,4.816892623901367,929.0,182.0,1126.0,84511.0,84890.0,278.0,0.0,97.0,190.0,93.0,407184.0,491505.0,1.2070803197563762,4.362551126121131,1377000.0,315640.0
2012-06-07,7.050000190734863,6.840000152587891,7.0,6.849999904632568,5037000.0,4.816892623901367,1031.0,57.0,1136.0,84349.0,84511.0,107.0,22.0,90.0,258.0,190.0,407346.0,491437.0,1.2064333357064125,3.4967002776874256,1300776.0,372000.0
2012-06-08,6.949999809265137,6.800000190734863,6.849999904632568,6.849999904632568,2077000.0,4.816892623901367,353.0,27.0,547.0,84128.0,84349.0,43.0,24.0,5.0,239.0,258.0,407567.0,491456.0,1.2058257763121736,3.9771526626306253,206279.0,51865.0
2012-06-11,7.110000133514404,6.960000038146973,7.0,7.050000190734863,5257000.0,4.957531929016113,1594.0,25.0,763.0,84934.0,84128.0,657.0,11.0,42.0,270.0,239.0,406761.0,491425.0,1.2081389116977495,8.152416859231632,603287.0,74000.0
2012-06-12,7.03000020980835,6.929999828338623,7.0,6.960000038146973,2835000.0,4.894244194030762,752.0,20.0,930.0,84736.0,84934.0,0.0,29.0,0.0,241.0,270.0,406959.0,491454.0,1.207622370748968,2.5279059497159913,498000.0,197000.0
2012-06-13,7.059999942779541,6.989999771118164,7.0,7.0,2845000.0,4.922371864318848,341.0,33.0,775.0,84269.0,84736.0,26.0,11.0,40.0,270.0,241.0,407426.0,491425.0,1.2061669943327271,8.597049713251756,840972.0,97820.0
2012-06-14,7.070000171661377,6.989999771118164,7.0,7.0,2420000.0,4.922371864318848,502.0,6.0,880.0,83885.0,84269.0,47.0,27.0,1.0,244.0,270.0,407810.0,491451.0,1.2050950072460036,14.846334428868468,442688.0,29817.0
2012-06-15,7.139999866485596,7.019999980926514,7.03000020980835,7.110000133514404,4410000.0,4.999722957611084,1247.0,121.0,828.0,84183.0,83885.0,78.0,0.0,28.0,272.0,244.0,407512.0,491423.0,1.2059075415998999,28.749860298226523,977524.0,34000.0
2012-06-18,7.449999809265137,7.230000019073486,7.260000228881836,7.369999885559082,10108000.0,5.182554244995117,2123.0,15.0,2143.0,84148.0,84183.0,2520.0,4.0,57.0,325.0,272.0,407547.0,491370.0,1.205673932886433,2.0939589196861315,259653.0,124000.0
2012-06-19,7.369999885559082,7.159999847412109,7.369999885559082,7.190000057220459,5331000.0,5.055978775024414,931.0,203.0,1255.0,83621.0,84148.0,0.0,23.0,0.0,302.0,325.0,408074.0,491393.0,1.2041732524658457,0.24921986309072566,308036.0,1236000.0
2012-06-20,7.329999923706055,7.21999979019165,7.25,7.21999979019165,3282000.0,5.0770745277404785,806.0,14.0,587.0,83826.0,83621.0,89.0,4.0,28.0,326.0,302.0,407869.0,491369.0,1.204719641062103,0.8483446295891413,236689.0,279000.0
2012-06-21,7.28000020980835,7.159999847412109,7.25,7.190000057220459,2998000.0,5.055978775024414,560.0,19.0,861.0,83506.0,83826.0,39.0,56.0,33.0,303.0,326.0,408189.0,491392.0,1.2038315490335383,5.400808146772515,264645.0,49000.0
2012-06-22,7.150000095367432,7.039999961853027,7.039999961853027,7.099999904632568,2933000.0,4.992691516876221,992.0,45.0,874.0,83579.0,83506.0,0.0,67.0,0.0,236.0,303.0,408116.0,491459.0,1.204211047322214,0.5898908285557406,192305.0,326000.0
2012-06-25,7.099999904632568,7.019999980926514,7.099999904632568,7.03000020980835,1873000.0,4.943467140197754,657.0,2.0,467.0,83767.0,83579.0,0.0,3.0,0.0,233.0,236.0,407928.0,491462.0,1.204773379681268,0.420874003791233,125000.0,297000.0
2012-06-26,7.090000152587891,6.920000076293945,7.03000020980835,6.940000057220459,3860000.0,4.8801798820495605,879.0,0.0,895.0,83751.0,83767.0,3.0,8.0,4.0,229.0,233.0,407944.0,491466.0,1.2047359325399258,0.23871311252992072,256000.0,1072416.0
