,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio
2001-12-20,6.346405029296875,5.897367000579834,6.316466808319092,6.286532878875732,216173199.0,3.475214719772339,20430.0,129.0,6002.0,60002.0,45703.0,14240.0,50.0,600.0,611.0,61.0,976697.0,1036088.0,1.0608069229178314,,,
2001-12-21,6.2266621589660645,5.897367000579834,6.166790962219238,5.897367000579834,86788521.0,3.2600831985473633,11479.0,47.0,9652.0,61688.0,59908.0,0.0,346.0,0.0,212.0,596.0,975011.0,1036487.0,1.063050506045054,,,
2001-12-24,6.047048091888428,5.837495803833008,6.0171098709106445,5.837495803833008,48449668.0,3.2269861698150635,6055.0,40.0,3892.0,63831.0,61708.0,1325.0,8.0,44.0,220.0,211.0,972868.0,1036479.0,1.0653839314440074,,,
2001-12-25,6.166790962219238,5.867428779602051,5.867428779602051,6.136853218078613,75984660.0,3.3924717903137207,9481.0,19.0,4495.0,68794.0,63827.0,4029.0,30.0,164.0,311.0,216.0,967905.0,1036388.0,1.0707527383857522,,,
2001-12-26,6.2266621589660645,5.9871721267700195,5.9871721267700195,6.047048091888428,94950971.0,3.3428282737731934,12369.0,32.0,8019.0,73107.0,68789.0,4899.0,92.0,352.0,571.0,311.0,963592.0,1036128.0,1.0752755572113952,,,
2001-12-27,6.256596088409424,6.047048091888428,6.10691499710083,6.136853218078613,106041277.0,3.3924717903137207,12946.0,15.0,9776.0,75933.0,72778.0,4405.0,10.0,39.0,242.0,229.0,960766.0,1036457.0,1.0787808074174072,,,
2001-12-28,6.2266621589660645,5.927300930023193,6.2266621589660645,5.9871721267700195,53042618.0,3.309727907180786,4587.0,62.0,7828.0,72629.0,75932.0,65.0,49.0,2.0,177.0,242.0,964070.0,1036522.0,1.075151104016198,,,
2001-12-31,6.256596088409424,6.0171098709106445,6.076981067657471,6.136853218078613,57561044.0,3.3924717903137207,7904.0,36.0,5599.0,74751.0,72482.0,1485.0,0.0,12.0,179.0,177.0,961948.0,1036520.0,1.0775207417441048,,,
2002-01-01,6.136853218078613,6.136853218078613,6.136853218078613,6.136853218078613,0.0,3.3924717903137207,7904.0,36.0,5599.0,74751.0,72482.0,1485.0,0.0,12.0,179.0,177.0,961948.0,1036520.0,1.0775207417441048,,,
2002-01-02,6.346405029296875,6.047048091888428,6.196723937988281,6.166790962219238,108521978.0,3.4090218544006348,10251.0,4.0,7881.0,77434.0,75068.0,4853.0,7.0,27.0,197.0,179.0,959265.0,1036502.0,1.0805157276500992,,,
