,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,bs_ratio,buy_volume,sell_volume
2012-05-02,14.919665336608887,14.319604873657227,14.37415599822998,14.837839126586914,31407376.0,12.827731132507324,2488.0,11.0,3843.0,79696.0,81062.0,1862.0,249.0,185.0,675.0,744.0,429663.0,508684.0,1.1839111491770313,5.262989943563607,6927000.0,1316171.0
2012-05-03,14.78328800201416,14.565084457397461,14.728736877441406,14.565084457397461,14085932.0,12.591927528381348,1852.0,0.0,1714.0,79834.0,79696.0,460.0,76.0,21.0,620.0,675.0,429525.0,508739.0,1.184419569478914,1.176339361063534,1603000.0,1362701.0
2012-05-04,14.837839126586914,14.428707122802734,14.45598316192627,14.728736877441406,17277448.0,12.73340892791748,3186.0,3.0,1578.0,81439.0,79834.0,1310.0,21.0,66.0,665.0,620.0,427920.0,508694.0,1.18875680324172,0.5176960390233293,1333000.0,2574869.0
2012-05-07,14.565084457397461,14.37415599822998,14.45598316192627,14.428707122802734,21616516.0,12.474023818969727,2450.0,107.0,2082.0,81700.0,81439.0,756.0,36.0,148.0,777.0,665.0,427659.0,508582.0,1.1892204087359117,0.4974992526793443,2553000.0,5131665.0
2012-05-08,14.619634628295898,14.319604873657227,14.565084457397461,14.319604873657227,16571685.0,12.379700660705566,1971.0,320.0,1168.0,82183.0,81700.0,765.0,193.0,24.0,608.0,777.0,427176.0,508751.0,1.1909606556532772,0.719055053435266,3043000.0,4231942.0
2012-05-09,14.1832275390625,14.04685115814209,14.074126243591309,14.074126243591309,15816426.0,12.167478561401367,1934.0,1.0,1177.0,82939.0,82183.0,789.0,149.0,123.0,582.0,608.0,426420.0,508777.0,1.1931330774047244,0.4094044825692482,949000.0,2318000.0
2012-05-10,14.265054702758789,14.019576072692871,14.074126243591309,14.210503578186035,7477422.0,12.285382270812988,625.0,12.0,838.0,82714.0,82939.0,628.0,80.0,94.0,596.0,582.0,426645.0,508763.0,1.1924710415660758,3.2992229394517096,1479652.0,448484.0
2012-05-11,14.128677368164062,13.910473823547363,14.101402282714844,14.019576072692871,22369941.0,12.120319366455078,1220.0,3.0,2864.0,81067.0,82714.0,1263.0,123.0,474.0,947.0,596.0,428292.0,508412.0,1.1870658637895086,1.8392979643085314,5308751.0,2886291.0
2012-05-14,14.128677368164062,13.965024948120117,14.04685115814209,13.965024948120117,9061265.0,12.073158264160156,652.0,6.0,710.0,81003.0,81067.0,733.0,185.0,82.0,844.0,947.0,428356.0,508515.0,1.1871289601897483,0.9110163976898319,1505000.0,1652000.0
2012-05-15,13.883197784423828,13.555892944335938,13.801371574401855,13.774097442626953,27418439.0,11.908096313476562,1801.0,45.0,1796.0,80963.0,81003.0,1057.0,281.0,615.0,1178.0,844.0,428396.0,508181.0,1.1862384657222156,4.18437238476726,6695000.0,1600000.0
2012-05-16,14.019576072692871,13.583168983459473,13.85592269897461,13.610444068908691,22804398.0,11.766613006591797,1470.0,60.0,2158.0,80215.0,80963.0,1463.0,148.0,219.0,1249.0,1178.0,429144.0,508110.0,1.184005406098172,2.0446898225019776,5353000.0,2618000.0
2012-05-17,14.37415599822998,13.883197784423828,14.019576072692871,14.37415599822998,36298223.0,12.426862716674805,3604.0,11.0,3393.0,80415.0,80215.0,3044.0,445.0,683.0,1487.0,1249.0,428944.0,507872.0,1.1840026110573616,2.6572979479711365,6808000.0,2562000.0
2012-05-18,14.237778663635254,13.883197784423828,14.101402282714844,13.910473823547363,26093071.0,12.025996208190918,2847.0,7.0,2415.0,80840.0,80415.0,1458.0,412.0,84.0,1159.0,1487.0,428519.0,508200.0,1.1859423130775693,0.7730827692638567,3458000.0,4473000.0
2012-05-21,14.619634628295898,14.074126243591309,14.101402282714844,14.346880912780762,31167233.0,12.40328311920166,2662.0,86.0,3135.0,80281.0,80840.0,2509.0,201.0,341.0,1299.0,1159.0,429078.0,508060.0,1.184070998580681,2.908352222758971,5870000.0,2018324.0
2012-05-22,14.674185752868652,14.428707122802734,14.59235954284668,14.510534286499023,34131438.0,12.54476547241211,4515.0,155.0,3121.0,81520.0,80281.0,3924.0,44.0,236.0,1491.0,1299.0,427839.0,507868.0,1.1870512341062078,0.628818975300064,1029000.0,1636400.0
2012-05-23,14.210503578186035,13.883197784423828,14.128677368164062,14.019576072692871,35258826.0,12.120319366455078,5345.0,0.0,2761.0,84104.0,81520.0,2287.0,594.0,966.0,1863.0,1491.0,425255.0,507496.0,1.193389393682864,0.20502827941211355,665522.0,3246000.0
2012-05-24,14.428707122802734,13.965024948120117,14.1832275390625,14.04685115814209,38602493.0,12.143899917602539,4627.0,1.0,4705.0,84025.0,84104.0,4011.0,223.0,330.0,1970.0,1863.0,425334.0,507389.0,1.192916171958574,0.848683944647887,2709000.0,3192000.0
2012-05-25,14.265054702758789,13.965024948120117,14.1832275390625,13.965024948120117,15794429.0,12.073158264160156,1738.0,114.0,1658.0,83991.0,84025.0,2402.0,222.0,110.0,1857.0,1970.0,425368.0,507502.0,1.1930864731562478,1.4111847566504476,1105000.0,783029.0
2012-05-28,14.428707122802734,13.992300033569336,14.1832275390625,14.319604873657227,24907022.0,12.379700660705566,2597.0,2.0,2973.0,83613.0,83991.0,2069.0,741.0,472.0,1588.0,1857.0,425746.0,507771.0,1.1926590204980891,1.1542306457844822,2823000.0,2445784.0
2012-05-29,14.837839126586914,14.401432037353516,14.401432037353516,14.728736877441406,39242263.0,12.73340892791748,6032.0,5.0,4611.0,85029.0,83613.0,2439.0,421.0,403.0,1570.0,1588.0,424330.0,507789.0,1.196681364312294,0.6418707274374991,2542000.0,3960298.0
2012-05-30,14.646910667419434,14.45598316192627,14.537809371948242,14.45598316192627,27913390.0,12.497604370117188,3553.0,33.0,2317.0,86232.0,85029.0,1017.0,289.0,227.0,1498.0,1570.0,423127.0,507861.0,1.200253823901987,0.5820390308757909,3877817.0,6662468.0
2012-05-31,14.97421646118164,14.428707122802734,14.428707122802734,14.97421646118164,53861642.0,12.945631980895996,5247.0,12.0,4707.0,86760.0,86232.0,5635.0,220.0,394.0,1672.0,1498.0,422599.0,507687.0,1.2013416942735446,1.5453589348884822,10309091.0,6671000.0
2012-06-01,14.892390251159668,14.45598316192627,14.837839126586914,14.565084457397461,40078180.0,12.591927528381348,3905.0,0.0,4506.0,86159.0,86760.0,3179.0,416.0,438.0,1694.0,1672.0,423200.0,507665.0,1.19958364937701,1.661706105147592,6248000.0,3759990.0
2012-06-04,14.1832275390625,13.801371574401855,14.019576072692871,14.019576072692871,33552162.0,12.120319366455078,3722.0,8.0,5502.0,84371.0,86159.0,2844.0,393.0,471.0,1772.0,1694.0,424988.0,507587.0,1.1943532656139335,0.8913457852955968,3620799.0,4062170.0
2012-06-05,14.45598316192627,14.1832275390625,14.1832275390625,14.1832275390625,43418181.0,12.261799812316895,5565.0,406.0,2532.0,86998.0,84371.0,4215.0,636.0,76.0,1212.0,1772.0,422361.0,508147.0,1.2031077606413456,0.3457281728103753,4686000.0,13554000.0
2012-06-06,14.237778663635254,14.019576072692871,14.210503578186035,14.04685115814209,27554092.0,12.143899917602539,4169.0,5.0,2369.0,88793.0,86998.0,2059.0,181.0,215.0,1245.0,1212.0,420566.0,508114.0,1.208164216403094,0.2456627569146981,1659575.0,6755500.0
2012-06-07,14.510534286499023,14.210503578186035,14.45598316192627,14.210503578186035,50802113.0,12.285382270812988,6559.0,13.0,4892.0,90447.0,88793.0,4969.0,26.0,544.0,1763.0,1245.0,418912.0,507596.0,1.211697894312184,0.3389408105007057,3176456.0,9371712.0
2012-06-08,14.428707122802734,14.128677368164062,14.210503578186035,14.1832275390625,20723772.0,12.261799812316895,2188.0,60.0,2830.0,89745.0,90447.0,1824.0,335.0,153.0,1581.0,1763.0,419614.0,507778.0,1.2101045005540794,0.910327684229094,1677256.0,1842474.0
2012-06-11,14.619634628295898,14.428707122802734,14.510534286499023,14.565084457397461,27240623.0,12.591927528381348,3297.0,56.0,3798.0,89188.0,89745.0,1377.0,214.0,209.0,1576.0,1581.0,420171.0,507783.0,1.208512228325543,1.0020529684825847,3594365.0,3587000.0
2012-06-12,14.428707122802734,14.237778663635254,14.37415599822998,14.401432037353516,15854923.0,12.450445175170898,1196.0,11.0,1874.0,88499.0,89188.0,663.0,149.0,36.0,1463.0,1576.0,420860.0,507896.0,1.2068022458721526,1.262068587085881,4209000.0,3335000.0
2012-06-13,14.565084457397461,14.292329788208008,14.483258247375488,14.510534286499023,14575383.0,12.54476547241211,1941.0,0.0,1866.0,88574.0,88499.0,1265.0,108.0,25.0,1380.0,1463.0,420785.0,507979.0,1.2072145936414234,0.5518306312253868,1009743.0,1829805.0
2012-06-14,14.674185752868652,14.401432037353516,14.59235954284668,14.45598316192627,24179261.0,12.497604370117188,2938.0,15.0,2370.0,89127.0,88574.0,1902.0,58.0,56.0,1358.0,1380.0,420232.0,508001.0,1.2088555634612228,0.48649811897223305,2302491.0,4732784.0
2012-06-15,15.001490592956543,14.565084457397461,14.619634628295898,14.919665336608887,54972532.0,12.89847183227539,7596.0,0.0,7689.0,89034.0,89127.0,4548.0,82.0,648.0,1924.0,1358.0,420325.0,507435.0,1.2072415220566894,2.210737309677271,6626338.0,2997342.0
