,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio
2002-08-27,36.43002700805664,34.83848190307617,35.97362518310547,34.83848190307617,4268741032.0,10.50581169128418,716.0,12.0,510.0,4465.0,4271.0,12.0,32.0,17.0,620.0,641.0,54312.0,58157.0,1.0707749525896195,,,
2002-08-28,34.61027908325195,32.56233596801758,34.382080078125,33.012882232666016,8328708698.0,9.955286979675293,825.0,2.0,886.0,4402.0,4465.0,0.0,68.0,0.0,550.0,620.0,54375.0,58227.0,1.070821686037958,,,
2002-08-29,32.79053497314453,31.19313621520996,32.56233596801758,31.6495361328125,8027980.0,9.544160842895508,891.0,51.0,266.0,4976.0,4402.0,0.0,64.0,0.0,486.0,550.0,53801.0,58291.0,1.0834355600163563,,,
2002-08-30,32.79053497314453,31.6495361328125,31.877735137939453,31.877735137939453,3851107.0,9.612975120544434,369.0,2.0,501.0,4842.0,4976.0,120.0,5.0,138.0,619.0,486.0,53935.0,58158.0,1.0782779590625926,,,
2002-09-02,31.877735137939453,30.286190032958984,30.964937210083008,30.286190032958984,1767721.0,9.133030891418457,182.0,0.0,329.0,4695.0,4842.0,8.0,20.0,3.0,602.0,619.0,54082.0,58175.0,1.0756614832757059,,,
2002-09-03,32.33413314819336,30.736738204956055,30.736738204956055,31.877735137939453,6043083067.0,9.612975120544434,558.0,16.0,662.0,4576.0,4696.0,428.0,30.0,127.0,698.0,601.0,54201.0,58079.0,1.0715287258772739,,,
2002-09-04,32.79053497314453,31.19313621520996,31.421337127685547,31.6495361328125,4856184120.0,9.544160842895508,525.0,4.0,554.0,4543.0,4576.0,226.0,26.0,73.0,745.0,698.0,54234.0,58032.0,1.0700101410528258,,,
2002-09-05,32.56233596801758,30.50853729248047,31.877735137939453,30.50853729248047,3590999.0,9.200081825256348,345.0,0.0,724.0,4164.0,4543.0,53.0,24.0,120.0,841.0,745.0,54613.0,57936.0,1.0608268942029517,,,
2002-09-06,30.50853729248047,30.50853729248047,30.50853729248047,30.50853729248047,0.0,9.200081825256348,345.0,0.0,724.0,4164.0,4543.0,53.0,24.0,120.0,841.0,745.0,54613.0,57936.0,1.0608268942029517,,,
2002-09-09,31.877735137939453,30.50853729248047,30.736738204956055,31.877735137939453,4015254.0,9.612975120544434,519.0,1.0,465.0,4217.0,4164.0,188.0,24.0,106.0,923.0,841.0,54560.0,57854.0,1.060354465643958,,,
