,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,bs_ratio,buy_volume,sell_volume
2012-05-02,35.74836730957031,34.91927719116211,35.114356994628906,35.74836730957031,4782659.0,19.201120376586914,112.0,3.0,282.0,4400.0,4573.0,49.0,60.0,18.0,117.0,159.0,565460.0,569743.0,1.0075725823708443,2.4996984375431452,3440000.0,1376165.0
2012-05-03,35.894676208496094,35.3094367980957,35.894676208496094,35.74836730957031,2257538.0,19.201120376586914,60.0,0.0,162.0,4298.0,4400.0,120.0,4.0,50.0,163.0,117.0,565562.0,569697.0,1.0073095305032331,1.989699610372042,1338457.0,672692.0
2012-05-04,36.57745361328125,34.77296829223633,34.77296829223633,36.18729782104492,5282967.0,19.436880111694336,139.0,0.0,256.0,4181.0,4298.0,245.0,37.0,36.0,162.0,163.0,565679.0,569698.0,1.0071029557346909,2.3366126400179525,3561000.0,1524000.0
2012-05-07,35.553287506103516,34.870506286621094,35.553287506103516,35.35820770263672,4202383.0,18.991559982299805,110.0,1.0,169.0,4121.0,4181.0,95.0,23.0,24.0,163.0,162.0,565739.0,569697.0,1.0069943790433769,0.553636208323125,1941110.0,3506110.0
2012-05-08,36.040985107421875,35.114356994628906,35.602054595947266,35.79713439941406,3282759.0,19.22731590270996,37.0,0.0,173.0,3985.0,4121.0,155.0,12.0,18.0,169.0,163.0,565875.0,569691.0,1.0067417596787989,2.3955963277335077,2767000.0,1155035.0
2012-05-09,35.5045166015625,34.72419738769531,35.40697479248047,34.72419738769531,3254053.0,18.651020050048828,197.0,0.0,49.0,4133.0,3985.0,88.0,48.0,3.0,124.0,169.0,565727.0,569736.0,1.0070846767351094,0.6568113922920306,1552000.0,2362930.0
2012-05-10,35.602054595947266,34.4803466796875,34.529117584228516,35.40697479248047,3954279.0,19.017751693725586,110.0,0.0,369.0,3874.0,4133.0,263.0,5.0,60.0,179.0,124.0,565986.0,569681.0,1.0065266516722116,1.8679762543439746,2879491.0,1541502.0
2012-05-11,35.3094367980957,34.77296829223633,35.016815185546875,35.16312789916992,4090634.0,18.886777877807617,76.0,0.0,49.0,3901.0,3874.0,69.0,34.0,28.0,173.0,179.0,565959.0,569687.0,1.00658527104389,0.7609849092566828,2139175.0,2811060.0
2012-05-14,35.40697479248047,34.82173538208008,34.870506286621094,35.35820770263672,1887433.0,18.991559982299805,56.0,0.0,110.0,3847.0,3901.0,100.0,8.0,11.0,175.0,173.0,566013.0,569685.0,1.0064857053005756,1.936608102706206,1497000.0,773000.0
2012-05-15,35.3094367980957,34.82173538208008,34.91927719116211,35.114356994628906,1874105.0,18.860584259033203,74.0,0.0,40.0,3881.0,3847.0,55.0,19.0,45.0,201.0,175.0,565979.0,569659.0,1.0065002296900951,1.1891224114266141,1465000.0,1232000.0
2012-05-16,35.114356994628906,34.2852668762207,35.114356994628906,34.2852668762207,4473042.0,18.415260314941406,88.0,0.0,90.0,3879.0,3881.0,34.0,46.0,14.0,169.0,201.0,565981.0,569691.0,1.0065532119396023,0.8677917324076996,3093786.0,3565124.0
2012-05-17,35.65082550048828,34.382808685302734,34.72419738769531,35.65082550048828,4654506.0,19.148727416992188,86.0,0.0,272.0,3693.0,3879.0,208.0,13.0,71.0,227.0,169.0,566167.0,569633.0,1.0061200915629283,2.7107364357473585,4039000.0,1490000.0
2012-05-18,35.21189880371094,34.4803466796875,34.91927719116211,34.62665557861328,5693055.0,18.598628997802734,110.0,0.0,71.0,3732.0,3693.0,163.0,34.0,77.0,270.0,227.0,566128.0,569590.0,1.006113447641792,0.7930964099967258,3975000.0,5012000.0
2012-05-21,35.21189880371094,34.43157958984375,35.114356994628906,34.62665557861328,4574539.0,18.598628997802734,130.0,29.0,64.0,3769.0,3732.0,306.0,20.0,20.0,270.0,270.0,566091.0,569590.0,1.006179207619963,4.938800420611239,3067000.0,621000.0
2012-05-22,35.016815185546875,34.33403778076172,34.91927719116211,34.4803466796875,3249952.0,18.520044326782227,231.0,1.0,50.0,3949.0,3769.0,99.0,61.0,4.0,213.0,270.0,565911.0,569647.0,1.0065999660724636,0.5044062662993514,1263000.0,2503933.0
2012-05-23,34.090187072753906,33.504947662353516,34.090187072753906,33.65126037597656,5562852.0,18.074726104736328,135.0,0.0,72.0,4012.0,3949.0,181.0,57.0,167.0,323.0,213.0,565848.0,569537.0,1.0065176398650524,0.7909258062799982,2780105.0,3515000.0
2012-05-24,33.65126037597656,32.96847915649414,33.65126037597656,33.16355895996094,8588281.0,17.81277084350586,432.0,0.0,135.0,4309.0,4012.0,266.0,69.0,709.0,963.0,323.0,565551.0,568897.0,1.0059145754943843,2.1655256883147795,4749000.0,2193000.0
