,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,bs_ratio,buy_volume,sell_volume
2012-05-02,7.128558158874512,6.955533981323242,6.955533981323242,7.0939531326293945,18561088.0,4.667613506317139,560.0,14.0,1427.0,55138.0,56019.0,267.0,58.0,16.0,73.0,115.0,1772671.0,1827736.0,1.0310627121091775,1.7656514292751,14496000.0,8210000.0
2012-05-03,7.232370853424072,7.0939531326293945,7.128558158874512,7.232370853424072,18517742.0,4.7586894035339355,895.0,1.0,960.0,55072.0,55138.0,241.0,1.0,45.0,117.0,73.0,1772737.0,1827692.0,1.0309995047209457,3.141021497598667,9184350.0,2924000.0
2012-05-04,7.336184978485107,7.128558158874512,7.1977667808532715,7.301580905914307,18988777.0,4.804226875305176,1283.0,0.0,548.0,55807.0,55072.0,404.0,19.0,137.0,235.0,117.0,1772002.0,1827574.0,1.0313605563873198,1.6302125574991249,9421000.0,5779000.0
2012-05-07,7.1977667808532715,6.920929908752441,7.128558158874512,6.990139007568359,23538743.0,4.599307060241699,2114.0,2.0,605.0,57314.0,55807.0,550.0,169.0,115.0,181.0,235.0,1770495.0,1827628.0,1.0322689235106999,0.19811522925579245,2754000.0,13901000.0
2012-05-08,7.059348106384277,6.920929908752441,7.024744033813477,6.990139007568359,7133434.0,4.599307060241699,877.0,510.0,281.0,57400.0,57314.0,175.0,9.0,1.0,173.0,181.0,1770409.0,1827636.0,1.0323235860619857,0.2048610518341864,708000.0,3456000.0
2012-05-09,6.920929908752441,6.851719856262207,6.920929908752441,6.858641147613525,14912735.0,4.5127854347229,1503.0,23.0,611.0,58269.0,57400.0,170.0,7.0,7.0,173.0,173.0,1769540.0,1827636.0,1.0328305475826782,0.1742581298988729,1427000.0,8189000.0
2012-05-10,6.955533981323242,6.858641147613525,6.858641147613525,6.920929908752441,10700873.0,4.553769588470459,1481.0,0.0,867.0,58883.0,58269.0,82.0,1.0,9.0,181.0,173.0,1768926.0,1827628.0,1.0331845237253996,1.09144231904046,3532691.0,3236717.0
2012-05-11,6.907087802886963,6.768669128417969,6.907087802886963,6.789432048797607,20198152.0,4.46724796295166,806.0,52.0,333.0,59304.0,58883.0,228.0,13.0,35.0,203.0,181.0,1768505.0,1827606.0,1.0334180375978368,0.17573797359429652,2008158.0,11427000.0
2012-05-14,6.817115783691406,6.74790620803833,6.789432048797607,6.796352863311768,8789281.0,4.471801280975342,252.0,0.0,480.0,59076.0,59304.0,95.0,5.0,2.0,200.0,203.0,1768733.0,1827609.0,1.0332865201890165,0.5643333596671746,2193000.0,3886000.0
2012-05-15,6.768669128417969,6.616408824920654,6.74790620803833,6.699460029602051,14067473.0,4.408049583435059,491.0,11.0,567.0,58989.0,59076.0,236.0,2.0,27.0,225.0,200.0,1768820.0,1827584.0,1.0332215639683155,0.2734319802859051,2026000.0,7409520.0
