,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio
2002-05-17,8.769380569458008,8.462470054626465,8.490056991577148,8.65903091430664,14659996.0,4.527255058288574,2692.0,119.0,2085.0,33374.0,32886.0,2532.0,0.0,579.0,579.0,0.0,1117982.0,1150777.0,1.0293331830627122,,,
2002-05-20,8.65903091430664,8.434882164001465,8.63144302368164,8.548681259155273,35628005.0,4.469560146331787,2111.0,43.0,2975.0,32468.0,33375.0,103.0,321.0,110.0,368.0,579.0,1118888.0,1150988.0,1.0286882791769336,,,
2002-05-21,8.490056991577148,8.103832244873047,8.462470054626465,8.103832244873047,14105644.0,4.236976623535156,2745.0,15.0,1601.0,33602.0,32473.0,0.0,177.0,0.0,176.0,368.0,1117754.0,1151180.0,1.0299036908803807,,,
2002-05-22,8.18659496307373,7.965895175933838,8.048657417297363,8.103832244873047,20567407.0,4.236976623535156,2720.0,15.0,1343.0,34964.0,33602.0,214.0,108.0,496.0,554.0,176.0,1116392.0,1150802.0,1.030821583438807,,,
2002-05-23,8.131420135498047,8.048657417297363,8.103832244873047,8.103832244873047,18857535.0,4.236976623535156,1046.0,0.0,1674.0,34336.0,34964.0,255.0,57.0,268.0,745.0,554.0,1117020.0,1150611.0,1.0300710550652137,,,
2002-05-24,8.434882164001465,8.103832244873047,8.103832244873047,8.352120399475098,15177639.0,4.366790771484375,2373.0,10.0,1498.0,36039.0,35174.0,1405.0,206.0,62.0,611.0,755.0,1115317.0,1150745.0,1.0317640350106427,,,
2002-05-27,8.548681259155273,8.18659496307373,8.296944618225098,8.490056991577148,9860756.0,4.438908576965332,1536.0,17.0,2294.0,35264.0,36039.0,824.0,235.0,75.0,451.0,611.0,1116092.0,1150905.0,1.031190949141335,,,
2002-05-28,8.548681259155273,8.269356727600098,8.517644882202148,8.324531555175781,12943208.0,4.352365970611572,2979.0,0.0,1364.0,36879.0,35264.0,17.0,118.0,52.0,385.0,451.0,1114477.0,1150971.0,1.0327444776837227,,,
2002-05-29,8.379707336425781,8.15900707244873,8.269356727600098,8.379707336425781,16898681.0,4.381214618682861,1920.0,3.0,1110.0,37746.0,36939.0,220.0,76.0,48.0,357.0,385.0,1113610.0,1150999.0,1.033573662616479,,,
2002-05-30,8.65903091430664,8.324531555175781,8.352120399475098,8.65903091430664,11945162.0,4.527255058288574,5141.0,0.0,3189.0,39698.0,37746.0,3120.0,137.0,120.0,338.0,357.0,1111658.0,1151018.0,1.0354056414781871,,,
2002-05-31,8.741792678833008,8.490056991577148,8.65903091430664,8.741792678833008,6721913.0,4.570526599884033,1417.0,76.0,2195.0,38844.0,39698.0,299.0,39.0,74.0,343.0,338.0,1112512.0,1151013.0,1.0346063371843746,,,
2002-06-03,8.548681259155273,8.269356727600098,8.434882164001465,8.379707336425781,18214868.0,4.381214618682861,2938.0,0.0,2839.0,38943.0,38844.0,0.0,109.0,0.0,234.0,343.0,1112413.0,1151122.0,1.0347963977440053,,,
2002-06-04,8.379707336425781,8.214181900024414,8.214181900024414,8.324531555175781,8762694.0,4.352365970611572,1634.0,2.0,926.0,39649.0,38943.0,0.0,16.0,0.0,162.0,234.0,1111707.0,1151194.0,1.035518319558733,,,
2002-06-05,8.434882164001465,8.241769790649414,8.352120399475098,8.241769790649414,10719416.0,4.309095859527588,2629.0,22.0,1196.0,41040.0,39629.0,213.0,66.0,28.0,124.0,162.0,1110316.0,1151232.0,1.0368498365782024,,,
2002-06-06,8.296944618225098,8.214181900024414,8.241769790649414,8.214181900024414,9027100.0,4.294671058654785,1625.0,0.0,1498.0,41157.0,41030.0,175.0,12.0,140.0,251.0,124.0,1110199.0,1151105.0,1.0368447126643847,,,
2002-06-07,8.434882164001465,8.103832244873047,8.131420135498047,8.269356727600098,10786980.0,4.323518753051758,2871.0,0.0,3719.0,40331.0,41179.0,1127.0,4.0,408.0,655.0,251.0,1111025.0,1150701.0,1.035710235404032,,,
2002-06-10,8.379707336425781,8.18659496307373,8.352120399475098,8.241769790649414,17940886.0,4.309095859527588,1975.0,0.0,620.0,41686.0,40331.0,214.0,223.0,43.0,475.0,655.0,1109670.0,1150881.0,1.0371371334386499,,,
2002-06-11,8.517644882202148,8.269356727600098,8.324531555175781,8.269356727600098,11204076.0,4.323518753051758,4756.0,21.0,2824.0,43597.0,41686.0,2263.0,29.0,369.0,805.0,475.0,1107759.0,1150551.0,1.038628403264245,,,
2002-06-12,8.407295227050781,8.269356727600098,8.324531555175781,8.352120399475098,17443458.0,4.366790771484375,1475.0,20.0,1299.0,43753.0,43597.0,459.0,58.0,102.0,849.0,805.0,1107603.0,1150507.0,1.038734963037331,,,
2002-06-13,8.879731178283691,8.324531555175781,8.352120399475098,8.796969413757324,20292889.0,4.599374294281006,9660.0,40.0,7946.0,45427.0,43753.0,4535.0,132.0,414.0,1116.0,849.0,1105929.0,1150240.0,1.0400658269510727,,,
2002-06-14,9.15905475616455,8.686617851257324,8.796969413757324,8.907319068908691,15086664.0,4.657068252563477,11474.0,1.0,10386.0,46514.0,45427.0,8151.0,180.0,487.0,1417.0,1116.0,1104842.0,1149939.0,1.0408166590185213,,,
2002-06-17,8.962493896484375,8.741792678833008,8.824556350708008,8.796969413757324,13150690.0,4.599374294281006,4741.0,38.0,3894.0,47305.0,46496.0,396.0,238.0,309.0,1448.0,1399.0,1104051.0,1149908.0,1.0415342755594845,,,
2002-06-18,8.879731178283691,8.517644882202148,8.852144241333008,8.576268196105957,9772974.0,4.483982563018799,4590.0,84.0,7436.0,44378.0,47308.0,578.0,554.0,98.0,975.0,1448.0,1106978.0,1150381.0,1.039207609177771,,,
2002-06-19,8.65903091430664,8.462470054626465,8.576268196105957,8.65903091430664,20229582.0,4.527255058288574,1749.0,56.0,2982.0,43069.0,44358.0,526.0,338.0,190.0,803.0,975.0,1108287.0,1150553.0,1.0381353944101173,,,
2002-06-20,8.769380569458008,8.490056991577148,8.517644882202148,8.741792678833008,28505488.0,4.570526599884033,2284.0,242.0,1499.0,43612.0,43069.0,899.0,120.0,210.0,888.0,803.0,1107744.0,1150468.0,1.0385675403635313,,,
2002-06-21,8.934906005859375,8.603856086730957,8.686617851257324,8.65903091430664,21133994.0,4.527255058288574,3000.0,2.0,3952.0,42655.0,43609.0,1869.0,59.0,242.0,1067.0,885.0,1108701.0,1150289.0,1.0375096283762453,,,
2002-06-24,8.769380569458008,8.576268196105957,8.686617851257324,8.576268196105957,20198725.0,4.483982563018799,3061.0,55.0,1608.0,44053.0,42655.0,272.0,79.0,127.0,1110.0,1067.0,1107303.0,1150246.0,1.038780678115495,,,
2002-06-25,8.714205741882324,8.352120399475098,8.65903091430664,8.379707336425781,13889117.0,4.381214618682861,1848.0,20.0,4728.0,41153.0,44053.0,680.0,122.0,281.0,1267.0,1110.0,1110203.0,1150089.0,1.0359258298474874,,,
2002-06-26,8.379707336425781,8.048657417297363,8.269356727600098,8.214181900024414,8879735.0,4.294671058654785,3467.0,51.0,2766.0,41803.0,41153.0,10.0,399.0,12.0,880.0,1267.0,1109553.0,1150476.0,1.0368814857140798,,,
2002-06-27,8.379707336425781,8.048657417297363,8.324531555175781,8.048657417297363,5133870.0,4.208128452301025,2721.0,0.0,1608.0,42916.0,41803.0,162.0,114.0,69.0,835.0,880.0,1108440.0,1150521.0,1.0379632294366592,,,
2002-06-28,8.269356727600098,8.103832244873047,8.18659496307373,8.18659496307373,7796567.0,4.280248165130615,1179.0,138.0,1595.0,42362.0,42916.0,707.0,126.0,566.0,1285.0,845.0,1108994.0,1150071.0,1.0370389406624918,,,
2002-07-01,8.18659496307373,7.934858798980713,8.18659496307373,8.103832244873047,4851469.0,4.236976623535156,697.0,14.0,2052.0,40993.0,42362.0,0.0,152.0,5.0,1138.0,1285.0,1110363.0,1150218.0,1.035892734274526,,,
2002-07-02,8.462470054626465,8.214181900024414,8.269356727600098,8.379707336425781,20246604.0,4.381214618682861,2418.0,9.0,2536.0,40866.0,40993.0,850.0,189.0,724.0,1673.0,1138.0,1110490.0,1149683.0,1.035292496742432,,,
2002-07-03,8.576268196105957,8.214181900024414,8.269356727600098,8.517644882202148,156963475.0,4.453332424163818,2329.0,40.0,2759.0,40396.0,40866.0,534.0,204.0,390.0,1859.0,1673.0,1110960.0,1149497.0,1.034687086225349,,,
2002-07-04,8.576268196105957,8.379707336425781,8.434882164001465,8.548681259155273,31648588.0,4.469560146331787,1373.0,11.0,3136.0,38621.0,40395.0,290.0,187.0,137.0,1785.0,1858.0,1112735.0,1149571.0,1.0331030900411238,,,
2002-07-05,8.686617851257324,8.269356727600098,8.65903091430664,8.434882164001465,254948606.0,4.410060405731201,2775.0,4.0,3257.0,38135.0,38621.0,1019.0,263.0,455.0,1975.0,1785.0,1113221.0,1149381.0,1.0324813918517601,,,
2002-07-08,8.576268196105957,8.434882164001465,8.434882164001465,8.548681259155273,15036126.0,4.469560146331787,4608.0,2.0,2286.0,40453.0,38133.0,1063.0,220.0,88.0,1841.0,1973.0,1110903.0,1149515.0,1.034756378588969,,,
2002-07-09,8.548681259155273,8.324531555175781,8.548681259155273,8.434882164001465,16769936.0,4.410060405731201,1903.0,6.0,1499.0,40851.0,40453.0,5.0,433.0,5.0,1413.0,1841.0,1110505.0,1149943.0,1.0355126401838441,,,
2002-07-10,8.548681259155273,8.352120399475098,8.407295227050781,8.462470054626465,12513344.0,4.424485206604004,890.0,75.0,2419.0,39247.0,40851.0,519.0,364.0,411.0,1460.0,1413.0,1112109.0,1149896.0,1.033976854807528,,,
2002-07-11,8.576268196105957,8.324531555175781,8.462470054626465,8.352120399475098,110567106.0,4.366790771484375,1640.0,3.0,1945.0,38939.0,39247.0,427.0,263.0,129.0,1326.0,1460.0,1112417.0,1150030.0,1.033811031464791,,,
2002-07-12,8.517644882202148,8.352120399475098,8.462470054626465,8.434882164001465,6728295.0,4.410060405731201,2338.0,10.0,1249.0,40010.0,38931.0,476.0,305.0,87.0,1107.0,1325.0,1111346.0,1150249.0,1.035004368572552,,,
2002-07-15,8.462470054626465,8.296944618225098,8.434882164001465,8.296944618225098,43488416.0,4.337942600250244,1999.0,5.0,1241.0,40783.0,40030.0,7.0,248.0,10.0,869.0,1107.0,1110573.0,1150487.0,1.035939072947863,,,
2002-07-16,8.379707336425781,8.15900707244873,8.379707336425781,8.15900707244873,19869944.0,4.265824794769287,2385.0,11.0,1512.0,41645.0,40783.0,182.0,133.0,55.0,789.0,869.0,1109711.0,1150567.0,1.0368158585290599,,,
2002-07-17,8.324531555175781,8.131420135498047,8.15900707244873,8.269356727600098,12054754.0,4.323518753051758,835.0,0.0,2226.0,40254.0,41645.0,771.0,39.0,525.0,1275.0,789.0,1111102.0,1150081.0,1.0350804560873295,,,
2002-07-18,8.407295227050781,8.18659496307373,8.269356727600098,8.241769790649414,26622184.0,4.309095859527588,1456.0,9.0,1325.0,40376.0,40254.0,723.0,141.0,115.0,1246.0,1275.0,1110980.0,1150110.0,1.0352202242882642,,,
2002-07-19,8.324531555175781,8.18659496307373,8.241769790649414,8.269356727600098,3783050.0,4.323518753051758,272.0,1.0,1186.0,39461.0,40376.0,137.0,140.0,393.0,1493.0,1246.0,1111895.0,1149863.0,1.0341461791390563,,,
2002-07-22,8.296944618225098,8.076245307922363,8.18659496307373,8.241769790649414,3145695.0,4.309095859527588,379.0,30.0,3155.0,36622.0,39428.0,157.0,285.0,168.0,1376.0,1493.0,1114734.0,1149980.0,1.0316173799154058,,,
2002-07-23,8.296944618225098,8.048657417297363,8.269356727600098,8.269356727600098,14074256.0,4.323518753051758,753.0,10.0,1156.0,36209.0,36622.0,290.0,394.0,115.0,1097.0,1376.0,1115147.0,1150259.0,1.031485506856489,,,
2002-07-24,8.241769790649414,8.021069526672363,8.241769790649414,8.15900707244873,13625772.0,4.265824794769287,1697.0,0.0,728.0,37178.0,36209.0,0.0,250.0,0.0,847.0,1097.0,1114178.0,1150509.0,1.0326069688981752,,,
2002-07-25,8.269356727600098,8.048657417297363,8.214181900024414,8.103832244873047,9604329.0,4.236976623535156,1623.0,36.0,770.0,37995.0,37178.0,36.0,228.0,57.0,676.0,847.0,1113361.0,1150680.0,1.0335182986306342,,,
2002-07-26,8.103832244873047,7.965895175933838,8.021069526672363,8.048657417297363,187319818.0,4.208128452301025,752.0,115.0,1870.0,36762.0,37995.0,11.0,129.0,18.0,565.0,676.0,1114594.0,1150791.0,1.0324745759670553,,,
