,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,bs_ratio,buy_volume,sell_volume
2012-05-02,33.36095428466797,32.84770965576172,32.84770965576172,33.31429672241211,8123890.0,20.047927856445312,83.0,1.0,39.0,6440.0,6397.0,55.0,43.0,108.0,663.0,598.0,777763.0,783540.0,1.007426417267963,0.7324694005382011,4805000.0,6560000.0
2012-05-03,33.50093078613281,33.220977783203125,33.31429672241211,33.36095428466797,6010671.0,20.076007843017578,81.0,0.0,77.0,6444.0,6440.0,73.0,9.0,33.0,687.0,663.0,777759.0,783516.0,1.0074007405883563,0.5940737406816976,1510000.0,2541771.0
2012-05-04,33.50093078613281,33.03434371948242,33.267635345458984,33.267635345458984,7552721.0,20.019851684570312,24.0,1.0,86.0,6381.0,6444.0,69.0,32.0,32.0,687.0,687.0,777822.0,783516.0,1.0073191458725186,0.40754642211258546,2279000.0,5592000.0
2012-05-07,33.267635345458984,32.707733154296875,33.267635345458984,32.84770965576172,4939059.0,19.767148971557617,98.0,0.0,13.0,6466.0,6381.0,6.0,55.0,49.0,681.0,687.0,777737.0,783522.0,1.0074369517755337,0.22458077825481162,872000.0,3882789.0
2012-05-08,32.84770965576172,32.287803649902344,32.84770965576172,32.707733154296875,4343243.0,19.682910919189453,66.0,1.0,86.0,6445.0,6466.0,112.0,19.0,64.0,726.0,681.0,777758.0,783477.0,1.0073518917813873,0.410365973186123,1658000.0,4040295.0
2012-05-09,32.661075592041016,32.241146087646484,32.52109909057617,32.47444152832031,4855473.0,19.542522430419922,66.0,2.0,44.0,6465.0,6445.0,28.0,35.0,34.0,725.0,726.0,777738.0,783478.0,1.007379082185669,0.14698051838482762,561837.0,3822526.0
2012-05-10,32.661075592041016,32.287803649902344,32.287803649902344,32.661075592041016,3390580.0,19.65483283996582,42.0,0.0,61.0,6446.0,6465.0,18.0,42.0,42.0,725.0,725.0,777757.0,783478.0,1.0073544727280208,0.2844257739058801,642195.0,2257864.0
2012-05-11,32.52109909057617,32.241146087646484,32.47444152832031,32.38112258911133,3212692.0,19.486364364624023,10.0,0.0,32.0,6424.0,6446.0,3.0,23.0,21.0,723.0,725.0,777779.0,783480.0,1.0073285504898557,0.2529593238551214,648335.0,2563000.0
2012-05-14,32.287803649902344,32.05451202392578,32.194488525390625,32.1478271484375,2431487.0,19.34596824645996,21.0,0.0,40.0,6405.0,6424.0,8.0,39.0,43.0,727.0,723.0,777798.0,783476.0,1.0072988008470054,0.2340771725219529,430000.0,1837000.0
2012-05-15,31.914535522460938,31.447948455810547,31.914535522460938,31.774560928344727,4782604.0,19.1213436126709,37.0,1.0,58.0,6383.0,6405.0,24.0,65.0,32.0,694.0,727.0,777820.0,783509.0,1.00731273647793,0.3239322981496867,1188000.0,3667432.0
2012-05-16,31.634584426879883,30.841386795043945,31.634584426879883,30.934703826904297,6702933.0,18.615934371948242,100.0,0.0,45.0,6438.0,6383.0,34.0,52.0,176.0,818.0,694.0,777765.0,783385.0,1.007224537971575,0.2504486700842048,1350710.0,5393160.0
2012-05-17,31.821218490600586,30.981361389160156,31.261314392089844,31.821218490600586,4171785.0,19.1494197845459,58.0,0.0,196.0,6300.0,6438.0,26.0,29.0,152.0,941.0,818.0,777903.0,783262.0,1.006887739361155,1.569621926057304,3278000.0,2088400.0
